hour_of_year,temperature,heat_runtime,aux_runtime,emg_runtime
5020,72.8931045375758,0,0,0
5021,72.4161748385454,0,0,0
5022,71.9515318518182,0,0,0
5023,71.5652362712121,0,0,0
5024,71.3867041708621,0,0,0
5025,71.4848094061373,0,0,0
5026,71.82092588568,0,0,0
5027,72.2670518802647,0,0,0
5028,72.8348278194946,0,0,0
5029,73.4802897892299,0,0,0
5030,74.1711348294082,0,0,0
5031,74.8683825182481,0,0,0
5032,75.4932595697245,0,0,0
5033,76.1093458009091,0,0,0
5034,76.5434119767677,0,0,0
5035,76.8156965192208,0,0,0
5036,76.8002311624396,0,0,0
5037,76.5495951578788,0,0,0
5038,76.1447151766667,0,0,0
5039,75.799959519697,0,0,0
5040,75.4187589418182,0,0,0
5041,74.9867121227273,0,0,0
5042,74.5822787130303,0,0,0
5043,74.1567306112121,0,0,0
5044,73.6959367838165,0,0,0
5045,73.266029022041,0,0,0
5046,72.8513853263538,0,0,0
5047,72.5082402343562,0,0,0
5048,72.3285494954874,0,0,0
5049,72.3954019582832,0,0,0
5050,72.6496457569697,0,0,0
5051,73.0214783427273,0,0,0
5052,73.5042063154545,0,0,0
5053,74.1009466441606,0,0,0
5054,74.6660987283747,0,0,0
5055,75.2144920212121,0,0,0
5056,75.7531248801703,0,0,0
5057,76.200260787713,0,0,0
5058,76.5348012163636,0,0,0
5059,76.6618458948347,0,0,0
5060,76.6176466541868,0,0,0
5061,76.3540694563636,0,0,0
5062,75.9938984078788,0,0,0
5063,75.647880289091,0,0,0
5064,75.2418359854469,0,0,0
5065,74.850878629529,0,0,0
5066,74.4032596413867,0,0,0
5067,73.951812949394,0,0,0
5068,73.4678737176457,0,0,0
5069,72.9822463357576,0,0,0
5070,72.5027459681462,0,0,0
5071,72.0869506038647,0,0,0
5072,71.8786740830314,0,0,0
5073,71.9813885920893,0,0,0
5074,72.2764591506642,0,0,0
5075,72.7564656009091,0,0,0
5076,73.29701243,0,0,0
5077,73.8961313079258,0,0,0
5078,74.5541614323105,0,0,0
5079,75.1308912011391,0,0,0
5080,75.6779361471822,0,0,0
5081,76.221151473076,0,0,0
5082,76.6401381157075,0,0,0
5083,76.9175945279783,0,0,0
5084,76.9860030971721,0,0,0
5085,76.7912970881898,0,0,0
5086,76.3941257201087,0,0,0
5087,76.0194283206521,0,0,0
5088,75.6163968828503,0,0,0
5089,75.1715852173913,0,0,0
5090,74.7291749252717,0,0,0
5091,74.2671845081818,0,0,0
5092,73.81717462669,0,0,0
5093,73.3476066924243,0,0,0
5094,72.8475238727272,0,0,0
5095,72.3698379341156,0,0,0
5096,72.1587381555355,0,0,0
5097,72.2500210234657,0,0,0
5098,72.524469309266,0,0,0
5099,72.988967531099,0,0,0
5100,73.5801923372585,0,0,0
5101,74.2650758913044,0,0,0
5102,74.9641318086643,0,0,0
5103,75.5673334244886,0,0,0
5104,76.1379985543923,0,0,0
5105,76.7214629054952,0,0,0
5106,77.1707158193939,0,0,0
5107,77.4183469441992,0,0,0
5108,77.4400885027372,0,0,0
5109,77.1342982585455,0,0,0
5110,76.754672720303,0,0,0
5111,76.3870857557576,0,0,0
5112,75.9396943236363,0,0,0
5113,75.5014011734602,0,0,0
5114,75.0674523372584,0,0,0
5115,74.6314538333333,0,0,0
5116,74.172514193645,0,0,0
5117,73.747510494904,0,0,0
5118,73.3550080334537,0,0,0
5119,73.0222999000604,0,0,0
5120,72.8602544074166,0,0,0
5121,72.8843523249097,0,0,0
5122,73.180930467509,0,0,0
5123,73.6285398986161,0,0,0
5124,74.1869677754454,0,0,0
5125,74.8581687004258,0,0,0
5126,75.462250177129,0,0,0
5127,76.0662361532467,0,0,0
5128,76.6321992135262,0,0,0
5129,77.0375216390097,0,0,0
5130,77.4206301802647,0,0,0
5131,77.623830504663,0,0,0
5132,77.6084370138889,0,0,0
5133,77.3708885256643,0,0,0
5134,77.0558382611715,0,0,0
5135,76.6650188453068,0,0,0
5136,76.2636196759928,0,0,0
5137,75.8404643652226,0,0,0
5138,75.4201900404676,0,0,0
5139,75.0005924214629,0,0,0
5140,74.5608247869014,0,0,0
5141,74.1479357270833,0,0,0
5142,73.7089068303571,0,0,0
5143,73.3472684309524,0,0,0
5144,73.1437427366071,0,0,0
5145,73.1684766818453,0,0,0
5146,73.3836755752977,0,0,0
5147,73.7977597603796,0,0,0
5148,74.3632637903321,0,0,0
5149,74.9424647941875,0,0,0
5150,75.4729470604982,0,0,0
5151,76.0304318502804,0,0,0
5152,76.5921828379928,0,0,0
5153,77.0811349085439,0,0,0
5154,77.4197439293478,0,0,0
5155,77.6211884341787,0,0,0
5156,77.6134544397713,0,0,0
5157,77.3531714933289,0,0,0
5158,77.0144128216426,0,0,0
5159,76.6176469844125,0,0,0
5160,76.215716461658,0,0,0
5161,75.8051979689367,0,0,0
5162,75.3731762891278,0,0,0
5163,74.928596932242,0,0,0
5164,74.4845969543011,0,0,0
5165,74.0568495507766,0,0,0
5166,73.6228143473716,0,0,0
5167,73.2048057246117,0,0,0
5168,73.005580685937,0,0,0
5169,73.0275296167268,0,0,0
5170,73.2559628677536,0,0,0
5171,73.6346913743961,0,0,0
5172,74.1503664112319,0,0,0
5173,74.7775161416967,0,0,0
5174,75.3635859765188,0,0,0
5175,75.9639287365108,0,0,0
5176,76.5019066220025,0,0,0
5177,76.9497596001792,0,0,0
5178,77.3329790480159,0,0,0
5179,77.4785123258662,0,0,0
5180,77.4085644706235,0,0,0
5181,77.1202909064749,0,0,0
5182,76.7426936846522,0,0,0
5183,76.2451162969314,0,0,0
5184,75.7322794777376,0,0,0
5185,75.2921954497593,0,0,0
5186,74.8853567948254,0,0,0
5187,74.4591941004197,0,0,0
5188,73.983179329644,0,0,0
5189,73.5376323514388,0,0,0
5190,73.0807307541967,0,0,0
5191,72.6565332880696,0,0,0
5192,72.3874511943762,0,0,0
5193,72.3359267220224,0,0,0
5194,72.4960630082434,0,0,0
5195,72.8003656064982,0,0,0
5196,73.2658923944044,0,0,0
5197,73.8190153910951,0,0,0
5198,74.4359679949041,0,0,0
5199,75.0321175141775,0,0,0
5200,75.632560691369,0,0,0
5201,76.0249897946429,0,0,0
5202,76.3533613996454,0,0,0
5203,76.491238651393,0,0,0
5204,76.4746677473673,0,0,0
5205,76.2340518363095,0,0,0
5206,75.8822972019116,0,0,0
5207,75.4932113826165,0,0,0
